SHIP CODE,DEPARTURE DATE,CRUISE ID,WEEK DAY,SECTOR,CABIN CATEGORY,CABIN GROUP,CABIN BLOCKED,CABIN SOLD,CABIN AVAILABLE,PAX COUNT
WDR,04/15/2018,WD05180415P,Sun,HKHKG-HKHKG,DGV,FP,0,0,2,0
WDR,04/15/2018,WD05180415P,Sun,HKHKG-HKHKG,DSA,FP,0,0,4,0
WDR,04/15/2018,WD05180415P,Sun,HKHKG-HKHKG,ISA,FP,0,0,10,0
WDR,04/15/2018,WD05180415P,Sun,HKHKG-HKHKG,ISS,FP,0,0,392,0
WDR,04/15/2018,WD05180415P,Sun,HKHKG-HKHKG,OSA,FP,0,0,4,0
WDR,04/15/2018,WD05180415P,Sun,HKHKG-HKHKG,OSS,FP,0,0,80,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,BDA,FP,0,0,2,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,BDS,FP,0,0,193,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,BSA,FP,0,0,12,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,BSS,FP,0,0,261,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,DDS,FP,0,0,40,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,DES,FP,0,0,2,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,DSS,FP,0,0,72,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,DGV,FP,0,0,1,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,DSA,FP,0,0,4,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,ISA,FP,0,0,10,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,ISS,FP,0,0,322,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,OSA,FP,0,0,4,0
WDR,04/20/2018,WD02180420P,Fri,HKHKG-HKHKG,OSS,FP,0,0,43,0
WDR,04/20/2018,WD02180420,Fri,CNNSA-CNNSA,BDA,FP,0,0,2,0
WDR,04/20/2018,WD02180420,Fri,CNNSA-CNNSA,BDS,FP,0,0,193,0
WDR,04/20/2018,WD02180420,Fri,CNNSA-CNNSA,BSA,FP,0,0,12,0
WDR,04/20/2018,WD02180420,Fri,CNNSA-CNNSA,BSS,FP,0,0,261,0
WDR,04/20/2018,WD02180420,Fri,CNNSA-CNNSA,DDS,FP,0,0,40,0
WDR,04/20/2018,WD02180420,Fri,CNNSA-CNNSA,DES,FP,0,0,2,0
SPC,07/02/2018,SP01180702,Mon,HKHKG-HKHKG,CC,FP,0,0,18,0
SPC,07/02/2018,SP01180702,Mon,HKHKG-HKHKG,DA,FP,0,0,136,0
SPC,07/02/2018,SP01180702,Mon,HKHKG-HKHKG,DB,FP,0,0,43,0
SPC,07/02/2018,SP01180702,Mon,HKHKG-HKHKG,DC,FP,0,0,95,0
SPC,07/02/2018,SP01180702,Mon,HKHKG-HKHKG,DD,FP,0,0,52,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,AA,FP,0,0,2,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,AB,FP,0,0,3,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,AC,FP,0,0,10,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,ACA,FP,0,0,5,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,AD,FP,0,0,15,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,AE,FP,0,0,46,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,AF,FP,0,0,63,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,CA,FP,0,0,58,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,CB,FP,0,0,11,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,CC,FP,0,0,18,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,DA,FP,0,0,136,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,DB,FP,0,0,43,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,DC,FP,0,0,95,0
SPC,07/03/2018,SP01180703,Tue,HKHKG-HKHKG,DD,FP,0,0,52,0
SPC,07/04/2018,SP01180704,Wed,HKHKG-HKHKG,AA,FP,0,0,2,0
SPC,07/04/2018,SP01180704,Wed,HKHKG-HKHKG,AB,FP,0,0,3,0
SPC,07/04/2018,SP01180704,Wed,HKHKG-HKHKG,AC,FP,0,0,10,0
SPC,07/04/2018,SP01180704,Wed,HKHKG-HKHKG,ACA,FP,0,0,5,0
